rank,id,artist,title,family,bpm_band,energy,home_if_not_colmado,transition,layer
40,Ns9YYSqLxyI,Marc Anthony,Valió La Pena (Salsa),salsa,88-110 felt / 170-220 clave,peak,,,sauce
41,BNo0vkEYWRc,Héctor Lavoe,El Cantante,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
42,Jn1OIkMqpbo,Sergio Vargas,La Quiero a Morir,salsa,88-110 felt / 170-220 clave,peak,,,tail
43,N8kGeGXddxg,Frankie Ruiz,Deseándote,salsa,88-110 felt / 170-220 clave,peak,,,tail
44,mXZRB_al3fs,Willie Colón y Héctor Lavoe,El Día de Mi Suerte,salsa,88-110 felt / 170-220 clave,peak,,,tail
45,GyhwmZAQB-Y,Rubén Blades,Decisiones,salsa,88-110 felt / 170-220 clave,peak,,,tail
46,s3fcKFQukbY,Tito Nieves,Fabricando Fantasías,salsa,88-110 felt / 170-220 clave,peak,,,tail
47,2PVi95J-FMo,Luis Enrique,Yo No Sé Mañana,salsa,88-110 felt / 170-220 clave,peak,,,tail
48,7kbjKCj-rMQ,Gilberto Santa Rosa,Conciencia,salsa,88-110 felt / 170-220 clave,peak,,,tail
49,wQUcaSEuob0,Rey Ruiz,Mi Media Mitad,salsa,88-110 felt / 170-220 clave,peak,,,tail
50,0ZfwT6lHahk,Gilberto Santa Rosa,Que Alguien Me Diga,salsa,88-110 felt / 170-220 clave,peak,,,tail
51,1crMUfqH6i0,Bonny Cepeda,Una Fotografía,merengue,128-150,peak,,JUMP,tail
52,sJqDmVekMWU,Jerry Rivera,Amores Como el Nuestro,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
53,US0GbUpQ9VU,Willie Colón,El Gran Varón,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
54,qYkpURie5cU,Héctor Lavoe,Periódico de Ayer,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
55,hLKwsJHspCw,El Gran Combo,Ojos Chinos,salsa,88-110 felt / 170-220 clave,peak,,,tail
56,bnv9r-FcD6I,La India,Ese Hombre,salsa,88-110 felt / 170-220 clave,peak,,,tail
57,HBkZRS8gTdg,El Gran Combo,Un Verano en Nueva York,salsa,88-110 felt / 170-220 clave,peak,,,tail
58,j8ElCh65bzk,Joe Arroyo,En Barranquilla Me Quedo,salsa,88-110 felt / 170-220 clave,peak,,,tail
59,4V3QrqlCnmw,Willie Colón y Héctor Lavoe,Juanito Alimaña,salsa,88-110 felt / 170-220 clave,peak,,,tail
60,ERVhkEtdrPY,Rubén Blades,Pedro Navaja,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
61,ISvXRDB8iwE,Joe Arroyo,El Centurión De La Noche,salsa,88-110 felt / 170-220 clave,peak,,,tail
62,bgSpdgL9lkQ,El Gran Combo,Y No Hago Más Na,salsa,88-110 felt / 170-220 clave,peak,,,tail
63,pE6HUa6Q3b8,Grupo Niche,Gotas de Lluvia,salsa,88-110 felt / 170-220 clave,peak,,,tail
64,OvQArMzHt90,Cheo Feliciano,Anacaona,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
65,dElUL4hvbJE,Grupo Manía,Linda Eh,salsa,88-110 felt / 170-220 clave,peak,,,tail
66,fDj-CSQDbsY,Ismael Rivera,El Nazareno,story_salsa,88-110 felt / 170-220 clave,mid,catalog_not_door,,tail
67,uTXP8VB52-I,Héctor Lavoe,Todo Tiene Su Final,salsa,88-110 felt / 170-220 clave,peak,,,tail
68,V1jnol6o1kQ,Bonny Cepeda,La Asesina,merengue,128-150,peak,,JUMP,tail
69,fs1Fg07CsQs,Wilfrido Vargas,El Baile del Perrito,merengue,128-150,peak,,,tail
70,pXPVxwaXtV0,Willie Colón,Idilio,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
71,epndigKqzDs,Wilfrido Vargas,El Jardinero,merengue,128-150,peak,,JUMP,tail
72,8QFzVz8whgQ,Rubby Pérez,Volveré,merengue,128-150,peak,,,tail
73,ptb09sCuMTo,Ismael Rivera,Las Tumbas,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
74,E6soE-1p3kw,Milly Quezada,Volvió Juanita,merengue,128-150,peak,,JUMP,tail
75,cg7pyBPSEwE,Bonny Cepeda,Ay Doctor,merengue,128-150,peak,,,tail
76,e494zPaEc6A,Lalo Rodríguez,Ven Devórame Otra Vez,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
77,lvfQWpvcE30,Los Hermanos Rosario,Ella Se Fue,merengue,128-150,peak,,JUMP,tail
78,vtizic9NnfY,Kinito Méndez,El Baile del Sua Sua,merenhouse,120-132,peak,marquesina/limpieza,,tail
79,ssOtmdQatGQ,Toño Rosario,Kulikitaka,merengue,128-150,peak,,,tail
80,H5gxKL5pmI4,Frankie Ruiz,Desnúdate Mujer,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
81,Rh2YCjhZnYk,Tito Rojas,Sensual,salsa,88-110 felt / 170-220 clave,peak,,,tail
82,Phy-i5oPJJ0,Willie Colón y Héctor Lavoe,Calle Luna Calle Sol,salsa,88-110 felt / 170-220 clave,peak,,,tail
83,xaKLn_z9R_k,Fernando Villalona,Tabaco y Ron,merengue,128-150,peak,,JUMP,tail
84,DJfU0ZfFidY,Willie Colón,Oh Qué Será,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
85,ydz-OjoIyuo,Los Hermanos Rosario,Dominicana,merengue,128-150,peak,,JUMP,tail
86,XtQ6QxGF0PM,Kinito Méndez,Cachamba,merenhouse,120-132,peak,marquesina/limpieza,,tail
87,uWIl86jzQqc,Johnny Ventura,El Sueño,merengue,128-150,peak,,,tail
88,uwQ-2yfnuRU,Gisselle y Sergio Vargas,"Perdóname, Olvídalo",salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
89,bntQQjEnbPA,Wilfrido Vargas,Abusadora,merengue,128-150,peak,,JUMP,tail
90,bibVirPrCD4,Marc Anthony,Hasta Ayer,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
91,tvX9xwHCPmg,Eddie Santiago,Tú Me Quemas,salsa,88-110 felt / 170-220 clave,peak,,,tail
92,zLu1z5Cg59w,Marc Anthony,Y Hubo Alguien,salsa,88-110 felt / 170-220 clave,peak,,,tail
93,HOrPwEZLhD4,Kinito Méndez,El Asilo,merengue,128-150,peak,,JUMP,tail
94,-VuPAychkn8,Frankie Ruiz,Mi Libertad,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
95,fJ_Rsda2chU,Eddie Santiago,Qué Locura Enamorarme de Ti,salsa,88-110 felt / 170-220 clave,peak,,,tail
96,zZTo7FYn0lI,Eddy Herrera,Me Sabe A Poco,merengue,128-150,peak,,JUMP,tail
97,KFhdezcPhGA,Eddie Santiago,Lluvia,salsa,88-110 felt / 170-220 clave,peak,,JUMP,tail
98,KP_TJdAiGLE,Willie Colón,El Malo,salsa,88-110 felt / 170-220 clave,peak,,,tail
99,1yvoPyqaOCA,Oscar D'León,Detalles,salsa,88-110 felt / 170-220 clave,peak,,,tail
100,s_U6G68NYec,Richie Ray,Sonido Bestial,salsa,88-110 felt / 170-220 clave,peak,,,tail
